,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
464,Nortelandia,BR,-14.4547,-56.8028,80.67,71,55,2.75,broken clouds
465,Itoman,JP,26.1247,127.6694,81.37,78,40,5.75,scattered clouds
466,Galle,LK,6.0367,80.217,79.48,84,92,8.28,overcast clouds
467,Port Blair,IN,11.6667,92.75,78.48,90,100,14.81,overcast clouds
468,Kidal,ML,18.4411,1.4078,87.78,14,0,10.74,clear sky
469,Dovolnoye,RU,54.4958,79.6671,38.14,94,98,6.58,overcast clouds
470,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,78.51,93,88,2.15,overcast clouds
471,Razole,IN,16.4833,81.8333,76.39,94,4,1.72,clear sky
472,Punta Alta,AR,-38.8759,-62.0736,58.64,44,0,6.55,clear sky
473,Barmer,IN,25.75,71.3833,85.48,48,32,8.68,scattered clouds
474,Sitka,US,57.0531,-135.33,49.89,71,90,10.36,light rain
475,Tiarei,PF,-17.5333,-149.3333,84.22,73,3,3.4,clear sky
476,Huarmey,PE,-10.0681,-78.1522,66.27,81,30,12.66,scattered clouds
477,Itanagar,IN,27.1,93.6167,70.81,83,0,3.49,clear sky
478,Molodizhne,UA,48.1773,32.6601,38.88,37,2,11.52,clear sky
479,Vredendal,ZA,-31.6683,18.5012,56.73,89,69,5.12,broken clouds
480,Nalut,LY,30.3333,10.85,72.27,49,0,13.42,clear sky
481,Sola,VU,-13.8833,167.55,83.07,84,75,6.91,broken clouds
482,Labelle,US,26.7617,-81.4384,87.98,68,97,4.85,overcast clouds
483,Sobolevo,RU,54.4299,31.8996,36.46,69,16,5.03,few clouds
484,Xichang,CN,27.8964,102.2634,63.28,95,83,0.43,broken clouds
485,Saint-Denis,FR,48.9167,2.3333,54.23,84,0,1.99,clear sky
486,Tignere,CM,7.3667,12.65,64.92,91,40,1.45,light rain
487,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,93.72,22,39,2.64,scattered clouds
488,Lakes Entrance,AU,-37.8811,147.981,53.17,58,36,5.3,scattered clouds
489,Marystown,CA,47.1666,-55.1483,54.86,100,52,1.01,broken clouds
490,Manacapuru,BR,-3.2997,-60.6206,79.38,67,55,1.77,moderate rain
491,Madanapalle,IN,13.55,78.5,73.2,85,99,2.82,heavy intensity rain
492,Chipinge,ZW,-20.1883,32.6236,59.29,89,51,6.55,broken clouds
493,Taltal,CL,-25.4,-70.4833,58.69,78,30,3.2,scattered clouds
494,Svetlyy,RU,54.675,20.1347,41.05,61,7,9.51,clear sky
495,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.15,15,0,4.61,clear sky
496,Weyburn,CA,49.6668,-103.8511,61.02,36,50,11.5,scattered clouds
497,Ixtapa,MX,20.7,-105.2,88.23,74,1,13.8,clear sky
498,Verkhnyaya Inta,RU,65.9811,60.3094,45.34,76,100,26.35,overcast clouds
499,Sao Filipe,CV,14.8961,-24.4956,80.13,80,19,5.97,few clouds
500,Santa Marta,CO,11.2408,-74.199,88.34,79,21,13.0,few clouds
501,Waingapu,ID,-9.6567,120.2641,76.23,81,48,4.14,scattered clouds
502,Sistranda,NO,63.7256,8.834,51.76,78,100,14.5,moderate rain
503,Kuznechnoye,RU,61.12,29.8686,51.01,72,100,12.15,overcast clouds
504,Kijang,KR,35.2442,129.2139,71.33,88,46,7.23,scattered clouds
505,Primo Tapia,MX,32.22,-116.9172,75.88,72,100,10.11,overcast clouds
506,Zhuzhou,CN,27.8333,113.15,66.33,79,99,9.4,overcast clouds
507,Hualmay,PE,-11.0964,-77.6139,64.74,83,36,13.4,scattered clouds
508,Keti Bandar,PK,24.1447,67.4497,81.32,81,94,10.31,overcast clouds
509,Arraias,BR,-12.9288,-46.9437,89.94,23,84,0.98,broken clouds
510,Viedma,AR,-40.8135,-62.9967,59.02,24,15,5.5,few clouds
511,Grindavik,IS,63.8424,-22.4338,49.95,93,90,23.02,overcast clouds
512,Abbeville,FR,50.1,1.8333,57.16,88,100,4.45,overcast clouds
513,Reichenau,PL,50.9075,14.9563,55.08,91,55,5.01,broken clouds
514,Astoria,US,46.1879,-123.8313,58.86,72,1,3.0,clear sky
515,Yurkivka,UA,49.0126,31.1013,40.03,43,3,8.3,clear sky
516,Ketchikan,US,55.3422,-131.6461,48.18,81,90,32.21,moderate rain
517,Marsh Harbour,BS,26.5412,-77.0636,83.82,66,27,10.09,scattered clouds
518,Lodja,CD,-3.4833,23.4333,71.58,81,52,2.21,broken clouds
519,Wukari,NG,7.85,9.7833,75.13,91,90,3.69,overcast clouds
520,Hokitika,NZ,-42.7167,170.9667,57.16,83,78,4.85,broken clouds
521,Chokurdakh,RU,70.6333,147.9167,10.65,87,99,6.06,overcast clouds
522,Atar,MR,20.5169,-13.0499,93.78,11,99,6.78,overcast clouds
523,Gazojak,TM,41.1875,61.4036,48.96,23,100,8.14,overcast clouds
524,Yelabuga,RU,55.7613,52.0649,35.15,77,68,4.12,broken clouds
525,Port Victoria,KE,0.0939,33.9756,69.4,74,14,5.99,few clouds
526,Aswan,EG,24.0934,32.907,78.84,26,0,10.96,clear sky
527,Xai-Xai,MZ,-25.0519,33.6442,68.65,70,100,10.85,overcast clouds
528,Alberton,CA,46.8168,-64.0654,64.53,72,7,9.06,clear sky
529,Vila,PT,42.0304,-8.1588,59.74,84,23,3.29,few clouds
530,Roseburg,US,43.2165,-123.3417,61.66,65,75,5.75,broken clouds
531,Buenos Aires,AR,-34.6132,-58.3772,60.04,47,0,8.05,clear sky
532,Kapoeta,SS,4.7717,33.5903,75.18,76,46,5.73,scattered clouds
533,Samarai,PG,-10.6167,150.6667,80.83,82,100,9.06,overcast clouds
534,Berlevag,NO,70.8578,29.0864,39.15,70,75,27.63,broken clouds
535,Porbandar,IN,21.6422,69.6093,83.37,79,65,6.31,broken clouds
536,Villa Maria,AR,-32.4075,-63.2402,67.82,39,0,9.31,clear sky
537,Neiafu,TO,-18.65,-173.9833,77.68,88,75,5.75,light rain
538,Ardakan,IR,32.31,54.0175,75.58,31,0,10.63,clear sky
539,Altamont,US,42.2068,-121.7372,61.9,44,1,1.01,clear sky
540,Panji,ID,-7.7253,114.0995,72.82,70,5,5.82,clear sky
541,Port Lincoln,AU,-34.7333,135.8667,51.84,74,100,9.95,overcast clouds
542,Coquimbo,CL,-29.9533,-71.3436,58.73,62,90,11.5,overcast clouds
543,Mach,PK,29.8637,67.3298,75.2,10,0,10.58,clear sky
544,Labuan,MY,5.2767,115.2417,80.96,88,20,0.0,few clouds
545,Vestmannaeyjar,IS,63.4427,-20.2734,50.74,95,100,24.05,overcast clouds
546,San Patricio,US,28.017,-97.5169,91.81,42,0,10.58,clear sky
547,Dombarovskiy,RU,50.7587,59.5386,38.48,55,22,5.21,few clouds
548,Serebryansk,KZ,49.6925,83.2892,29.75,85,99,3.51,light snow
549,Koungou,YT,-12.7336,45.2042,76.71,78,0,13.8,clear sky
550,Loreto,MX,22.2667,-101.9667,74.17,36,43,12.93,scattered clouds
551,Weiser,US,44.251,-116.9693,70.03,39,100,2.84,overcast clouds
552,Mahibadhoo,MV,3.7833,72.9667,83.21,73,74,14.58,broken clouds
553,Vila Do Maio,CV,15.1333,-23.2167,81.39,79,35,11.39,scattered clouds
554,Cairns,AU,-16.9167,145.7667,80.94,81,34,8.05,scattered clouds
555,Husavik,IS,66.0449,-17.3389,42.71,96,100,26.98,moderate rain
556,Alice Springs,AU,-23.7,133.8833,65.75,68,0,8.05,clear sky
557,Rundu,NA,-17.9333,19.7667,76.71,41,98,2.06,overcast clouds
558,San Pedro,PH,14.35,121.0167,78.35,92,40,2.3,haze
559,Half Moon Bay,US,37.4636,-122.4286,74.62,66,90,8.05,overcast clouds
560,Prince Rupert,CA,54.3161,-130.3201,49.69,78,90,24.16,light rain
561,Yarkovo,RU,57.4028,67.0786,38.1,82,20,6.46,few clouds
562,Kolokani,ML,13.5728,-8.0339,79.43,58,54,5.3,broken clouds
563,Muros,ES,42.7762,-9.0603,63.23,91,52,5.12,broken clouds
564,Ngunguru,NZ,-35.6167,174.5,63.16,67,72,9.95,broken clouds
565,Inyonga,TZ,-6.7167,32.0667,77.58,26,74,8.25,broken clouds
566,Fairbanks,US,64.8378,-147.7164,39.6,95,90,5.75,light intensity drizzle
567,Aranos,NA,-24.1333,19.1167,66.9,10,0,12.84,clear sky
568,Black River,JM,18.0264,-77.8487,86.0,75,47,3.51,scattered clouds
569,Coron,PH,11.9986,120.2043,79.25,88,100,3.42,overcast clouds
570,Rio Grande,BR,-32.035,-52.0986,60.91,68,4,9.33,clear sky
571,Paka,MY,4.6374,103.4368,73.33,100,96,0.0,overcast clouds
572,El Alto,PE,-4.2714,-81.2147,69.46,76,24,26.11,few clouds
573,Ouahigouya,BF,13.5828,-2.4216,88.92,29,22,7.45,few clouds
574,Alyangula,AU,-13.8483,136.4192,73.27,88,98,4.61,overcast clouds
575,Yumen,CN,40.2833,97.2,43.68,45,91,12.66,overcast clouds
576,Krasnogorsk,RU,55.8225,37.3181,41.05,70,0,4.47,clear sky
577,Camapua,BR,-19.5314,-54.0439,75.83,78,97,9.69,overcast clouds
578,Trapani,IT,37.8333,12.6667,62.92,88,40,16.11,scattered clouds
579,Voskresenskoye,RU,56.8381,45.4317,36.01,68,0,4.18,clear sky
580,Ponta Delgada,PT,37.7333,-25.6667,70.5,88,20,6.91,few clouds
581,Namibe,AO,-15.1961,12.1522,63.79,77,4,6.67,clear sky
582,Namatanai,PG,-3.6667,152.4333,82.38,73,16,2.89,few clouds
583,Mount Isa,AU,-20.7333,139.5,80.37,26,55,5.75,broken clouds
584,Konibodom,TJ,40.2843,70.4426,55.17,50,94,4.76,overcast clouds
585,Manokwari,ID,-0.8667,134.0833,80.64,71,98,5.84,overcast clouds
586,Segezha,RU,63.7415,34.3222,49.53,86,100,18.92,light rain
587,Grand Gaube,MU,-20.0064,57.6608,72.0,81,90,1.99,moderate rain
588,Shingu,JP,33.7333,135.9833,69.85,87,95,3.27,overcast clouds
589,Lubango,AO,-14.9172,13.4925,66.07,35,15,2.04,few clouds
590,Inirida,CO,3.8653,-67.9239,76.05,95,100,1.7,light rain
591,Sabla,NG,12.7525,4.7077,85.84,43,97,7.83,overcast clouds
592,Sandpoint,US,48.2766,-116.5533,58.05,52,75,1.99,broken clouds
593,Kysyl-Syr,RU,63.8986,122.7617,29.16,96,98,8.55,overcast clouds
594,Javanrud,IR,34.7961,46.5172,54.3,36,0,3.22,clear sky
595,Umm Kaddadah,SD,13.6017,26.6876,86.18,17,7,13.82,clear sky
596,Campulung,RO,45.2667,25.05,47.34,81,100,2.42,overcast clouds
597,Paita,PE,-5.0892,-81.1144,72.16,78,15,20.0,few clouds
598,Gazanjyk,TM,39.2446,55.5154,47.59,72,36,5.97,scattered clouds
599,Acari,PE,-15.4311,-74.6158,67.78,80,68,7.87,broken clouds
600,Yeppoon,AU,-23.1333,150.7333,71.38,59,18,7.0,few clouds
601,Bafra,TR,41.5678,35.9069,58.82,82,33,3.89,scattered clouds
602,Maarianhamina,AX,60.0973,19.9348,53.46,87,0,4.61,clear sky
603,Yilan,TW,24.757,121.753,83.82,99,100,2.73,overcast clouds
604,Humaita,BR,-7.5061,-63.0208,77.49,86,70,4.52,heavy intensity rain
605,Dudinka,RU,69.4058,86.1778,32.63,95,84,10.13,broken clouds
606,Sambava,MG,-14.2667,50.1667,72.55,77,78,7.74,broken clouds
607,Najran,SA,17.4924,44.1277,79.45,56,38,3.96,scattered clouds
608,Arlit,NE,18.7369,7.3853,85.6,15,0,14.79,clear sky
609,Zeya,RU,53.75,127.2667,27.88,94,13,0.78,few clouds
610,Lillooet,CA,50.6856,-121.942,56.12,36,28,4.16,scattered clouds
611,Port Macquarie,AU,-31.4333,152.9167,66.88,65,26,10.42,scattered clouds
612,Aanekoski,FI,62.6946,25.818,50.07,100,72,6.64,broken clouds
613,Lazaro Cardenas,MX,17.9583,-102.2,86.02,73,46,8.77,scattered clouds
614,Arauco,CL,-37.2463,-73.3175,57.22,59,11,0.98,few clouds
615,Alekseyevsk,RU,57.8406,108.3492,32.85,97,100,9.71,light snow
616,Bonthe,SL,7.5264,-12.505,79.03,86,24,4.59,few clouds
617,Bangkalan,ID,-7.0455,112.7351,73.35,76,5,4.94,clear sky
618,Chikitigarh,IN,19.2,84.6167,77.43,86,37,3.71,scattered clouds
619,Waipawa,NZ,-41.4122,175.5153,56.03,85,100,4.5,overcast clouds
620,Kawalu,ID,-7.3817,108.2082,70.39,91,100,0.49,overcast clouds
621,Mundo Nuevo,MX,18.7,-95.5,81.12,69,100,15.68,overcast clouds
622,Saint Anthony,US,45.0205,-93.218,71.38,77,90,3.0,overcast clouds
623,Pacifica,US,37.6138,-122.4869,73.71,75,75,4.0,broken clouds
624,Abong Mbang,CM,3.9833,13.1833,67.78,99,75,1.3,light rain
625,Whitehorse,CA,60.7161,-135.0538,38.17,86,75,8.99,light rain
626,Iquique,CL,-20.2208,-70.1431,64.44,76,57,4.38,broken clouds
627,Zhuhai,CN,22.2769,113.5678,78.69,94,40,19.57,shower rain
628,Viersen,DE,51.25,6.3833,52.05,94,20,3.44,few clouds
629,Cartagena,CO,10.3997,-75.5144,87.42,74,40,10.36,scattered clouds
630,Dingle,PH,10.9995,122.6711,77.16,86,100,2.26,overcast clouds
631,Kota,IN,25.1833,75.8333,79.45,60,0,3.78,clear sky
632,Chadiza,ZM,-14.0678,32.4392,66.81,55,26,7.63,scattered clouds
633,Maputo,MZ,-25.9653,32.5892,71.28,82,75,5.01,broken clouds
634,Putina,PE,-15.4667,-69.4333,50.76,66,67,9.33,broken clouds
635,Antofagasta,CL,-23.65,-70.4,60.08,77,45,5.46,scattered clouds
636,Andenes,NO,69.3143,16.1194,39.07,75,20,6.91,few clouds
637,Aykhal,RU,66.0,111.5,15.44,99,96,2.89,overcast clouds
638,Port Hawkesbury,CA,45.6169,-61.3485,63.18,79,1,1.01,clear sky
639,Cradock,ZA,-32.1642,25.6192,67.95,43,100,9.73,light rain
640,Xuddur,SO,4.1213,43.8894,72.64,65,68,10.76,broken clouds
641,Oranjestad,AW,12.524,-70.027,87.75,62,20,18.41,few clouds
642,Arica,CL,-18.475,-70.3042,67.55,77,90,9.22,overcast clouds
643,Faya,SA,18.3851,42.4509,68.11,54,10,6.13,clear sky
644,Dongsheng,CN,39.8161,109.9776,45.41,88,36,10.38,scattered clouds
645,Hun,LY,29.1268,15.9477,78.26,21,0,6.38,clear sky
646,Davila,PH,18.4726,120.5763,76.98,86,100,10.54,overcast clouds
647,Encantado,BR,-29.2361,-51.8697,65.23,55,74,3.49,broken clouds
648,Walvis Bay,NA,-22.9575,14.5053,57.09,82,0,3.44,clear sky
649,Avera,US,33.194,-82.5271,75.74,81,72,7.58,broken clouds
650,La Primavera,CO,5.4906,-70.4092,81.61,81,61,0.98,broken clouds
651,Oksbol,DK,55.6268,8.2876,47.91,86,100,9.44,overcast clouds
652,Kununurra,AU,-15.7667,128.7333,71.58,78,31,0.0,scattered clouds
653,Shihezi,CN,44.3,86.0333,39.72,61,99,7.47,overcast clouds
654,Grand-Lahou,CI,5.1367,-5.0242,76.86,91,100,5.93,overcast clouds
655,Ayan,RU,56.45,138.1667,39.56,47,99,4.14,overcast clouds
656,Inhambane,MZ,-23.865,35.3833,68.31,65,91,8.88,overcast clouds
657,Morgan City,US,29.6994,-91.2068,87.01,58,1,6.91,clear sky
658,Tautira,PF,-17.7333,-149.15,84.22,74,8,3.38,clear sky
659,Danielskuil,ZA,-28.1887,23.5395,59.65,44,57,7.99,broken clouds
660,Linxia,CN,35.6003,103.2064,51.91,74,21,2.75,few clouds
661,Mitsamiouli,KM,-11.3847,43.2844,76.12,81,7,6.98,clear sky
662,Challapata,BO,-18.9,-66.7667,57.27,43,53,10.27,broken clouds
663,Melo,UY,-32.3667,-54.1833,50.83,76,2,7.92,clear sky
664,Maple Creek,CA,49.9168,-109.4848,54.01,37,99,4.61,overcast clouds
665,Changtu,CN,42.7788,124.0955,45.72,55,18,4.21,few clouds
666,Port-Gentil,GA,-0.7193,8.7815,78.76,78,75,9.22,broken clouds
667,Westport,US,41.1415,-73.3579,74.75,69,1,3.0,clear sky
668,Ormond Beach,US,29.2858,-81.0559,88.16,68,40,8.05,scattered clouds
669,Karratha,AU,-20.7377,116.8463,71.47,68,0,3.18,light rain
670,Saraland,US,30.8207,-88.0706,88.05,61,3,3.11,clear sky
671,Diamantina,BR,-18.2494,-43.6003,77.68,46,98,6.06,overcast clouds
672,Denpasar,ID,-8.65,115.2167,74.71,88,20,3.44,few clouds
673,Svetlogorsk,BY,52.6333,29.7333,38.46,63,81,6.38,broken clouds
674,Trairi,BR,-3.2778,-39.2689,79.3,81,99,9.93,overcast clouds
675,The Pas,CA,53.8251,-101.2541,59.02,55,1,16.11,clear sky
676,San Juan,AR,-31.5375,-68.5364,70.3,20,1,11.77,clear sky
677,Margate,GB,51.3813,1.3862,61.03,89,100,1.99,overcast clouds
678,Qaqortoq,GL,60.7167,-46.0333,45.1,55,49,5.5,scattered clouds
679,Gornopravdinsk,RU,60.05,69.9,38.14,92,8,7.45,clear sky
680,Polyarnyy,RU,69.1989,33.4478,34.27,74,100,20.67,overcast clouds
681,Bandar-E Lengeh,IR,26.5579,54.8807,87.91,70,0,0.0,clear sky
682,Filadelfia,US,39.9523,-75.1638,76.69,68,75,4.0,broken clouds
683,Salym,RU,60.0625,71.4789,37.76,92,53,8.25,broken clouds
684,Chimala,TZ,-8.85,34.0167,67.57,66,1,4.03,clear sky
685,Ennis,IE,52.8436,-8.9864,62.06,94,75,9.22,broken clouds
686,Sarahan,IN,31.5167,77.8,55.13,59,0,2.86,clear sky
687,Poum,NC,-20.2333,164.0167,73.99,64,29,10.58,scattered clouds
688,Kuopio,FI,62.8924,27.677,51.75,82,90,11.5,overcast clouds
689,Itaguai,BR,-22.8522,-43.7753,71.24,94,75,14.97,light rain
690,Colac,AU,-38.3333,143.5833,48.61,80,93,5.84,overcast clouds
691,Anlu,CN,31.1661,112.5831,57.04,82,91,11.23,overcast clouds
692,Kolondieba,ML,11.0882,-6.8926,78.93,69,95,4.09,overcast clouds
693,Trincomalee,LK,8.5711,81.2335,80.74,75,100,18.1,overcast clouds
